Ano,Mes_Num,Mes,Producao_Total_kg,Eficiencia_kg_h,Horas_Operacionais,Residuo_kg,Potencial_Reciclagem_Percent,Economia_RS
2022,1,2022-01,60075.1,85.8,696.0,6968.82,52.1,8377.18
2022,2,2022-02,58411.22,84.2,705.0,6536.22,54.1,6628.1
2022,3,2022-03,58110.05,84.8,705.0,6521.14,48.6,6720.79
2022,4,2022-04,60550.76,86.7,697.0,6877.44,50.7,7099.25
2022,5,2022-05,61337.78,88.6,700.0,6909.67,64.5,9477.43
2022,6,2022-06,62635.7,89.4,693.0,6713.41,53.3,7571.66
2022,7,2022-07,62314.95,89.7,706.0,6597.33,54.2,8262.54
2022,8,2022-08,61051.21,91.1,701.0,6414.25,65.4,10761.34
2022,9,2022-09,60200.06,90.5,698.0,6470.18,68.6,11263.76
2022,10,2022-10,64428.02,90.6,702.0,7026.43,54.3,10431.74
2022,11,2022-11,65761.04,89.7,723.0,7116.15,56.6,10979.76
2022,12,2022-12,62297.1,89.9,710.0,7054.1,58.9,11201.14
2023,1,2023-01,60731.53,88.5,706.0,6721.09,63.1,10224.93
2023,2,2023-02,63991.99,89.2,711.0,7204.0,53.9,8592.39
2023,3,2023-03,60141.23,89.3,703.0,6723.14,56.6,8440.16
2023,4,2023-04,61329.23,90.3,706.0,6784.09,60.9,8847.75
2023,5,2023-05,64074.81,90.5,713.0,7026.25,59.8,9426.84
2023,6,2023-06,62425.73,89.2,720.0,6693.3,56.4,8532.97
2023,7,2023-07,62432.37,89.1,715.0,6605.95,57.2,9715.89
2023,8,2023-08,63190.41,88.6,730.0,6893.44,52.4,8559.45
2023,9,2023-09,62070.75,88.7,709.0,6796.41,56.4,10209.18
2023,10,2023-10,64576.51,89.6,715.0,7215.67,56.7,10658.16
2023,11,2023-11,61965.18,89.0,709.0,7080.67,58.0,11609.85
2023,12,2023-12,61325.69,87.6,705.0,6809.62,54.6,10540.75
2024,1,2024-01,57476.94,88.2,694.0,6451.85,58.4,9502.09
2024,2,2024-02,60341.25,87.8,702.0,6808.37,60.1,9613.99
2024,3,2024-03,60015.22,87.9,709.0,6805.22,57.1,7894.72
2024,4,2024-04,59124.97,88.1,702.0,6532.26,58.1,8618.16
2024,5,2024-05,59447.37,89.3,692.0,6399.11,57.9,8138.76
2024,6,2024-06,61239.74,90.3,697.0,6608.31,58.3,9183.05
2024,7,2024-07,63926.09,90.6,707.0,6737.52,56.1,10339.82
2024,8,2024-08,60117.91,89.1,708.0,6098.82,59.1,9693.02
2024,9,2024-09,60425.68,88.5,696.0,6362.41,57.0,9383.09
2024,10,2024-10,59147.2,88.5,689.0,6555.99,64.4,11011.19
2024,11,2024-11,59846.51,89.4,688.0,6474.85,63.3,11443.52
2024,12,2024-12,60750.4,88.3,688.0,6637.36,58.4,10468.2
2025,1,2025-01,59902.78,86.6,698.0,6732.49,53.1,8310.15
2025,2,2025-02,61131.55,86.6,701.0,6629.9,52.2,8309.4
2025,3,2025-03,59616.93,86.8,703.0,6568.18,60.2,9729.6
2025,4,2025-04,60729.72,89.3,704.0,6587.33,58.6,9471.17
2025,5,2025-05,61136.64,90.0,696.0,6614.18,59.8,8559.34
2025,6,2025-06,64280.71,91.4,714.0,6922.63,52.9,9462.72
2025,7,2025-07,64936.13,90.4,730.0,6795.36,61.8,11189.97
2025,8,2025-08,62267.7,90.4,719.0,6277.15,60.4,10479.7
2025,9,2025-09,64271.51,90.4,724.0,6345.84,55.0,10354.85
2025,10,2025-10,63590.42,90.8,711.0,6648.77,57.2,9826.32
2025,11,2025-11,70302.65,93.5,730.0,7523.06,61.2,12978.52
2025,12,2025-12,65799.45,90.4,715.0,7219.48,58.4,12729.54
2026,1,2026-01,60812.29,89.7,704.0,6609.91,56.9,8714.28
2026,2,2026-02,62104.29,90.7,703.0,6812.45,58.1,10458.58
2026,3,2026-03,59817.14,89.6,702.0,6248.42,57.2,8820.63
2026,4,2026-04,60896.88,90.0,699.0,6734.37,58.5,10179.13
2026,5,2026-05,63514.18,91.5,704.0,6796.0,64.2,10786.13
2026,6,2026-06,63358.42,90.8,695.0,6578.67,49.9,9017.09
2026,7,2026-07,62966.73,90.5,721.0,6709.72,57.7,11172.57
2026,8,2026-08,63273.52,91.9,712.0,6765.64,59.9,11525.84
2026,9,2026-09,61157.8,91.8,711.0,6406.72,60.4,11232.48
2026,10,2026-10,63797.32,91.2,716.0,6516.85,57.9,11189.56
2026,11,2026-11,61397.48,91.2,702.0,6727.57,52.6,10219.5
2026,12,2026-12,61941.58,90.8,704.0,6896.62,59.5,12443.0
